title,content
小偷太多,12月14日零晨，我公司员工宿舍遭遇盗窃，丢失三部手机，一个IPAD，一个金手镯，及少量现金，总价值18000元左右，我公司监控有拍摄到行窃人图像。员工有报案。 自12年来我公司留户贵地以来，遭遇盗窃十数起，失窃各种名贵犬类十多只，摩托车三辆，快递诈骗一起。所有案件，大部分皆有拍摄到案犯照片。前几次员工有到公安部门报案，但皆不了了之，后来大家都觉得，报案也没用。后面也不再有人愿意报案，自认倒霉。周边工厂也经常遭遇入室盗窃，盗抢。光我公司这几年失窃总价值近十万元。   我公司独门独院，有围墙，围墙上铁丝网防护，有保安人员执班，对盗窃案还是防不胜防。其它皆不说，但公司员工摩托车遭窃一案，一直对贵地公安部门心存芥蒂，常有听员工说，哪家有卖贼赃的摩托车，如果公安人员愿意介入的话，找到摩托车行问话（销赃，涉案金额多次早超几万元），顺藤摸瓜，很容易就抓到窃贼，我这个不懂破案的人，也知道这种案件破起来，一抓一窝，很容易就破获，实在不理解，公安部门为何未能破案？是否人员太少，或者金额太少，不值得劳动精神？     烦请贵地公安部门，严厉打击犯罪活动，加强治安工作，宏扬社会正气。偷窃诈骗太多，实在让人忍无可忍。核对情况请与我司行政主管联系，罗小姐：13538333303
长安双龙路悦府东门外未拆的3路灯已坏很久,你好！上次所说的金色悦府东门出入口前四盏路灯问题，你处回复：”市民：你好！关于转来（011612092246101）的投诉已收悉， 长安双龙路金色悦府东门出入口前四盏路灯，是万科金色悦府基建工程需要申请拆除二盏路灯，致该路段路灯的灯柱已拆除，该设施由万科金色悦府工程部规划设置。东莞市城市综合管理局长安分局 “经查，确实金色悦府基建工程已拆除二盏路灯，但仍有3盏路灯不亮很久了，这应是你处负责，请尽快将此33盏路灯修好。谢谢！2016-12-13
医疗乱收费,关于我投诉万江侨联门诊利用医托骗我跟老婆去做产检乱检查收费的问题，万江卫生监督所的工作人员辛苦了，处理结果我们很满意非常感谢他们，同时也非常感谢12345的工作人员对我们的帮助！
空气污染,"这几个月以来,每隔3.4天工业园周围的空气都有刺鼻气味,很大的烟雾,很呛人,我也不知道归哪个部门管,今天下午又是这样,希望政府部门管一管，，"
物业管理不作为,"东莞市和祥物业管理有限公司在没有通过正规招标手续进驻万豪苑实施物业管理工作至今已一年有余，我们还是满怀希望，希望其能够按其承诺“提供全面优质的物业管理服务,建设优美的人居环境,保证广大业主住户满意”做好万豪苑物管工作。可是，一年以来的现实证明，和祥物业所做的远不能达到其所承诺的服务质量和效果，我们多次提出意见和要求,也曾耐心的等待和祥物业有所改进，可是却屡屡不见效果。为了能够详细了解一下万豪苑目前实际情况，小区业主进行了实地走访，简单的整理了一下万豪苑目前万豪苑存在的问题，特向政府反映，希望政府能维护广大业主利益，调查核实后与和祥物业公司交涉，限其及时整改，还万豪苑小区一个安全、和谐的生活环境。"
篮球场不开灯，停车问题,东莞市清溪镇浮岗村田螺涧村的篮球场为何不开灯，我在本村住了十几年了，现在停车也超级不方便，希望有关部门给这两个问题予重视。
治安亭形同虚设，形式主义,清溪镇罗马新长山村，一直聘请多名治安员，而且在村里设置多个治安岗亭，但是一直无人值班，岗亭如同虚设，做形式主义，浪费公帑。请相关部门重视，要么撤销聘用村里治安员，要么让治安员尽忠职守。不要用我们的钱做了治安亭，给他们村干部应付检查。
市场公开卖无检疫狗肉,市场里私宰贩卖没有任何检疫的狗肉；地址！广东东莞市，凤岗镇，塘沥凤凰围村农贸市场，16号摊位。
常平政府部门工作不作为，推卸责任,本人对031611212932701处理结果极其不满，事件涉及多部门，曾经由常平有关部门处理过的，包括（住建，规划，工商......）但最终这些部门互相推卸责任，工作怕事处理不当，最终事情没解决。现在回复又说是民事事件要我们普通市民从法律方面解决。分明又是推卸责任。政府设市长热线电话就是要为我们这普通人民办实事的。这样的政府我本人一定要抗争到底。最后也请司法部门介入处理。谢谢。
有毒气味影响附近人群，多年未解决！,万江黄粘洲工业区的工厂，常年排放有毒气体，经多次(快四年)向有关部门(环保局)投诉，都没有解决，现在正呼吸着大量的毒气在工作和生活，希望你好好的管一管，真正还广大人民一个自由呼吸的空间。
在新万悦购物广场买了过期三个月的米,作为一个消费者，都比较信任一个超市的产品，正因为相信超市所以不敢去菜市场或者路边摊买一些东西，没想到规模还算大的超市居然卖过期产品，还是我们每餐要吃的大米。大人没什么，还有一岁多的小孩子在吃！我只希望你们去处理这个超市不对消费者的安全。
关于回复不合理,关于工单号081612121422801工单号的回复不合情理1.我所反应的问题是车管所未尽其全责管理，导致民众往返现场办理业务花费太多路费和精力，我所说车贷解除抵押的业务完全交由各镇级办理，至少可以缓解问题。2.这次新身体会车管所工作人员对民众解释不周，解释不清、服务管理不细，导致办理此业务多次往返未达完成办理好此业务；（工作人员不是一次解释给民众，而次每次发现一个问题告知于办理业务的民众，如第一次说要拿号、第二次说周未可办理、第三次说周未拿号较少办理人员较少、第四次因停电办不了、第五次说号已拿完当天只拿当天号、第六次说未拿到号可办理邮政代办等等），就在车管所办理业务，看看那景象不敢想象，办公大楼外的公路赌得水泄不通，里面一片混乱，也无人管理，工作人员太死板，想想这么一个小小业务让民众跑多少次最终还是邮政代办，远一点的要花上油费+路费+人工费远超过1000多元成本，难道东莞车管所办事真有这么难。3.话说拿号当天拿当天的号办理业务，就说我当天办理解除贷款抵押业务，无数次往返结果没有办理好相关务，被逼只得走邮政代办业务，就这短短的市内邮费得花费20元成本，费用是不是有些偏高呀。且当天我有拍照，上午拿的号，贷款抵押业务上午基本上就把这个业务所有的号办完了，下午办理这个业务的地方空无一人上班办理该业务。那就是说所拿的号只要半天就办理完了。而这些没有拿到号的人还是得回家再来一趟。且各业务各岗位在这么多业务办理造成瓶胫的时候车管所为什么未能及时利用多班倒进行解缓矛盾，中午、下午照样上下班，该休息的休息呢，这么多民众的问题总得要解决呀。
东莞市大岭山人民医院肾结石治死人求公道,投诉人 刘花葵，女，42岁，工人，住东莞市大朗镇犀牛坡村联系电话：13544635157  13710236116被投诉科室：泌尿外科我是患者李志根的妻子。我老公今年46岁，湖南省永兴县龙形市乡八甲村人，居住在东莞大朗镇犀牛坡村。2016年12月7日我老公因突发疼痛差点晕倒，来到大岭山人民医院住院就诊，医院查出双肾有结石。我老公一直说他腰痛，呼吸不顺畅，在没有对身体进一步检查的情况下，12月8日下午进行了激光碎石的手续，碎石手续中我老公说他很疼很疼我让医生先暂停了手续，停了10多分钟后他感觉稍好一些又继续进行碎石，第二次再进行碎石时医生没有找到有结石的情况下再次进行手续，手续时长达1个半小时。手续过后当天晚上我老公感觉非常不适他说非常疼并且呼吸困难咳嗽，我也和值班护士和医生反映了三次他们都没有做进一步的检查只是给我老公打止痛针，我老公在疼痛和难爱中度过了一个晚上。12月9日早上主治医生来查房，我同他反映情况后他们拍了一次CT，拍完CT后发现右侧输尿管下段结石并肾积水，右侧胸腔积液，右肺不张。12月9日中午紧急转院到东莞市人民医院，入住东莞市人民医院后由抢救室转入呼吸科再转到胸外科，病情一直恶化在人民医院住院13小时最后大出血去世，直到我老公去世都不知原因病原所在。我老公平时身体健康，平日非常注意身体、早睡早起、热爱锻炼，喜爱户外运动，住院之前经常带上家人去松山湖游玩去杨屋马安山森林公园爬山去锻炼。9月7日我老公还在家时唱着歌，而且当天还在在干活，可见平时他身体状态很好。治疗之前我只知道肾结石并不是什么大病，按常理，经过治疗应当症状减轻，而事实却恰恰相反，我老公在激光碎石后治疗的当天出现身体不适症状，第二天更是出现新的病症危及生命。就这样一个小小的肾结石转眼之间就治死了人，这绝对不是正常的治疗结果，我们完全有理由认为整个治疗过程存在误诊误判用药不当导致病情恶化错过最佳治疗时间或者其他严重违法医疗规程的行为。为此，我请求主管部门迅速展开调查，查清事实真相，明确被投诉科室是否存在医疗过错！ 此致 大岭山人民医院领导 投诉人： 刘花葵
红绿灯设置,常平桥沥市场门口红绿灯双向左转车道又没车通行。还占用一条车道。造成直行拥堵。可否改左转加直线的。
虎门连升北路万达广场前增加人行天桥,虎门万达广场将于2016-12-16开业，现在连升北路万达广场与客天下之间的路已经非常拥堵，车多人多，过马路的时候非常危险。可以想象万达正式开业后，拥堵会成为常态。相关部门是否可以考虑在此处建一座人行天桥？非常感谢！
凤岗镇金地艺境花园30栋严重违建,金地艺境花园30栋严重违建，业主无视管理处的协调，不顾邻居反对和协商。据管理处讲，12月13号政府职能部门已到现场调查并告知业主停建，勒令整改，否则按有关法律法规处理。12月14号该业主依然加速抢建违建，现在已建至第三层。业主把法律法规当摆设，践踏政府职能部门权威，想把违建变成事实，打时间差，3天一层楼。希望政府重视百姓诉求，为民办实事，办好事，维护百姓的合法权益，快速处理。希望有关职能部门对这种严重违法行为不是走过场，假如不制止严惩该行为，法律的尊严何在？政府的权威何在？政府的公信力何在？
夜间咖啡店顾客扰民,位于南城区西平新中银花园东门新中银花园公交站旁的85C咖啡店，在夜间11时以后，仍有人在露天位置喝酒摇骰子大声聊天，影响小区居民休息，请帮助解决。
深夜建筑工地扰民,东莞石排下沙大道锦惠百货路口进来右侧工地经常早上六点多开工至深夜12点一直扰民，无法让附近居民正常休息。建议早上八点前及晚上8点分需停工，保证附近居民正常休息
投诉宵夜档每晚吵闹扰民！,每晚12点过后，宵夜档非常吵闹。严重影响睡眠。麻烦查封＂肥婆小厨＂这个宵夜档。
东莞国境口岸医院说是公立三甲医院是骗人的,有病乱求医，百度上面查了说这个医院是广东省重点公立三甲医院，在线医生也说是公立医院  社保可以在院内报销，我去高高兴兴去的看了。去的途中还在路上给我打电话问我到了没，知道路线没，我心里就想这个医院怎么这么人性化呢，谁知道是怕我没来，没送钱。。。我一看医生就说是鼻甲肥大需要手术4700，我开始问的时候的2000多就可以了，怎么变到4700？好吧我心想 能治好4700 就4700吧，手术不用5分钟不知道做什么 就在鼻子弄了几下，就说好了 。。我以为就可以了，谁知道还要治疗费 3000多块钱，我那时候已经没钱了，好吧我就问别人借；2000块钱 后面的治疗.就是用仪器对着鼻子照了 一下！ 这个就是治疗费？  我可难接受 ，我想请问这个是公立省重点医院嘛？有人查过嘛？卫生局有看过嘛？ 后面就收据也没有标明是什么收费的 ..
东城区涡岭商业街西区宵夜档每晚噪音扰民。,每晚12点过后，＂肥婆小厨＂这个宵夜档直接可以叫做无王管，打架，酗酒，吵闹样样有，不信的，每晚可以亲身来查看一下，麻烦相关部门做好市容市貌的工作。最好把这个店封了！万分感激。
关于东莞劳动仲裁院及派出仲裁庭管辖等问题,根据《中华人民共和国劳动仲裁调解法》 第二十一条劳动争议仲裁委员会负责管辖本区域内发生的劳动争议。据此规定，东莞市劳动人事争议仲裁院对东莞市区域内发生的劳动争议案件管辖权，这是法律直接的授权，劳动者可以直接向东莞市劳动人事争议仲裁院申请劳动仲裁，但是实践中，东莞市劳动人事争议仲裁院面对“无案可审”境地，因为东莞市劳动人事争议仲裁院不接收东莞区域内任何一个劳动者的劳动仲裁申请及相关材料，并告知劳动者东莞市劳动人事争议仲裁院无管辖权，又不接收材料又不出具签收回执，更不出具《不予受理通知书》，这是典型的行政扯皮欺民行为。东莞市劳动人事争议仲裁院在各个区、镇派出各个劳动仲裁庭，实际是以“东莞市劳动人事争议仲裁院”的名义审查、立案、公告、制作法律文书。从法理学讲：东莞地区的劳动争议劳动者可以向东莞市劳动人事争议仲裁院申请劳动仲裁，也可以向东莞市劳动人事争议仲裁院派出机构的用人单位所在地劳动仲裁庭申请劳动仲裁，只所以设置派出机构是方便群众维权。它的概念就向东莞市第一人民法院及各个派出机构的人民法庭、东莞市第二人民法院及各个派出机构的人民法庭，当事人可以向人民法院起诉递交资料立案受理，也可以向派出机构人民法庭递交起诉资料立案受理，受理后人民法院在五个工作日把相关材料转送到派出机构的人民法庭分法官审理案件。东莞市劳动人事争议仲裁院亦是同理，但是问题东莞市劳动人事争议仲裁院本身自己就违反法律和无视国家法律法规，处处设置障碍为难和刁难劳动者，当然劳动者投诉往往因为东莞市人力资源局工作人员不承认或投诉事件不属实不了了之！根据我本人所经历的事实和行政机关故意刁难，门难进、脸难看、事难办等的心得体会向东莞市人民政府及东莞市人民政府工作部门东莞市人民政府工作部门东莞市人力资源局提出如下意见：一、严格遵守《中华人民共和国劳动仲裁调解法》和《劳动人事争议仲裁办案规则》相关规定的法定职责与义务；二、法律赋予的五个工作日内审查是否立案，不要拖拖拉拉，设置障碍要十个工作日；三、无论是否材料齐全，并先接收劳动者相关材料，应当出具书面《一次性补正材料告知书》给当事人；四、允许并认可劳动者在东莞市工商局官方网站打印的企业工商信息档案登记资料作为劳动者证明企业主体合法成立，符合劳动仲裁材料要求；五、东莞市劳动人事争议仲裁院应当主动积极接受劳动者申请劳动仲裁，方便群众，少走冤枉路。
交警大队门口公然卖票,做为市民，做为平民百姓，都懂一个道理，现在的社会就是花钱好办事，没钱门口都进不去，这就是我所经历的在清溪交警大队办理换证业务，每次去都是没号了，大清早去排队也是没号，行我能理解我去的比别人慢，我没钱，为什么呢，在排队过程中就有人公然的在大门口开始发名片说可以出两百块钱就能拿到号，我心想这就是你们的无能啊人家在你家门口拉屎你们既然可以不管还帮他打扫那堆屎，这就是习大大说的为人民办好事，办实事吗！难道你们都不知道人家在你门口拉屎，还是你明知道了还任由他们呢还是这其中有什么不可告人的秘密的！
占道经营，油烟乱排放,我在12月3号已经投诉过你们说已经处理过但是我今天晚上拍了好多照片他都还是乱摆买到那个停车停车位里面然后那个油烟乱乱排放有个排气扇直接排到我们楼上叫我们每天闻的这些有毒的气味，怎么生活？不能说已经处理过然后他们从今天开始又是一样，没有改变所以我称的希望你们能够真的去解决这个事情，每天晚上那些人在哪里喝酒，在哪里吵有时候砸车，随地小便，真心影响市容，东莞配不上文明城市的称号啊
消防逃生窗以及消防面具,你好，消防大队检查到我家一楼店铺存在问题是厨房跟卧室一起没有逃生窗，装一个逃生窗，我就说有人逃生门干嘛还要装逃生窗，消防大队的人又说人在里面睡逃生门在外面，我就建议放两个防火面具，他们还是不行一定要逃生窗，就想咨询一下为什么放消防面具等待救援不行？一定要逃生窗呢！咨询12345客服说消防标准。
关于2017年节能减排奖励政策,请问下东莞2017年节能减排有哪些奖励政策，需要提供什么资文件，有无相关政策文件，如果有在哪里领取？谢谢！
投诉东莞市劳动人事争议仲裁院长安仲裁庭,1、昨日经东莞市劳动人事争议仲裁院长安仲裁庭审查劳动仲裁申请书没问题，缺企业机读档案登记资料原件核对验证但有复议件，就拒绝接收当事人的所有材料，同时拒绝向当事人出具《一次性补正材料告知书》。当事人对于东莞市人力资源局违法的“欺负”和“刁难”实感无奈。于2016年12月13日下午14时左右当事人带齐《劳动仲裁申请书》原件三份、申请人身份证原件及复议件一份、《企业机读档案登记资料》原件及复印件一份、当事人送达地址确认书原件一份，这次是完全按照东莞市劳动人事争议仲裁院长安仲裁庭要求去做的，又受到百种刁难……！！！最终打电话向12345市长热线投诉，东莞市劳动人事争议仲裁院长安仲裁庭最终接收当事人的所有材料，并出具回执。可回执注明2016年12月21日内决定是否受理，根据《中华人民共和国劳动仲裁调解法》相关明确规定在五个工作日内是否决定受理。于2016年12月13日申请劳动仲裁，最迟应当在2016年12月20日内出具《劳动人事争议仲裁不予受理通知书》。2、如果东莞市劳动人事争议仲裁院长安仲裁庭超过2016年12月20日之前未作出决定，将根据东莞市劳动人事争议仲裁院逾期未作出决定，按照相关法律法规向东莞市第二人民法院提出起诉维权。3、东莞市劳动人事争议仲裁院长安仲裁庭只能对当事人提交的材料程序审查，不得违法进行实体审查，当事人没有提交与用人单位证明劳动关系就应当不属于《劳动法》第二条调整出具《不予受理通知书》，东莞市劳动人事争议仲裁院只能依据申请人提交材料审查，不能越权审查。3、如果东莞市劳动人事争议仲裁院长安仲裁庭违法受理，当事人不参加劳动仲裁庭审，视为当事人撤诉，然后再次向东莞市劳动人事争议仲裁院提出《劳动仲裁申请》，应当出具《不予受理通知书》。当事人需要绝对的司法公正、公平，劳动仲裁准司法程序带有浓厚的行政色彩，当事人只能经过劳动仲裁程序前置，不可能让东莞市劳动人事争议仲裁院实体审理及裁决。当事人向中华人民共和国国家信访局、全国人大、国务院等部门就建议废除全国的劳动仲裁组织机构，因为劳动仲裁已经成为劳动者维权的“阻碍”，成立中国特色的劳动专业法院，一审终审。希望东莞市人力资源局好好反思，为什么劳动者不愿意经过劳动仲裁实体裁决？偏偏选择曲线救国的道路维权……。
查环查孕,请问东莞市石龙镇计生办针对只生了一胎的妇女为什么还要规定每季度查环查孕？12月广东省不是有文件规定取消了吗？
道滘镇丽水佳园幼儿园路段违章停车现象,道滘镇丽水佳园幼儿园路段违章停车现象严重，造成拥堵，给业主出入带来极大不方便，特别是早上七点半开始到八点半，下午四点半到五点半，本来送小孩的车和出入的车，就已经多车混乱了，还雪中加霜的被乱停的车辆占据了整整半条路，如果这时小区里面发生意外事故，急救车都没法通过，想想就感觉后怕。前段时间有交警不定时来抄牌，情况稍稍好转，这几天又死灰复燃了，肯请有关部门对此现象给以彻底的整治，希望将来这路段能整洁，通畅，安全
投诉东莞市卡邦牛服饰有限公司违反广告法,本人在2016年12月9日，在淘宝天猫店铺：卡邦牛旗舰店（东莞市卡邦牛服饰有限公司）购买了1件男牛仔裤，其质量好差，有异味，而且发现此产品在详情页广告宣传的时候，严重违反国家广告法规定禁止使用的极限词（禁违词）：“纯天然棉花面料”“顶级棉麻面料”的极限词（禁违词），存在严重的欺骗消费者和误导消费者的嫌疑，虚假宣传。有截图证据，特此投诉。东莞市卡邦牛服饰有限公司注册号：441900002020734；注册地址：东莞市中堂镇江南工业东区中心路39号一楼；购买订单编号：2884567235698813；联系电话：18588840890； 15920327945；法定代表人：郑年会；本人诉讼要求：根据国家规定的新消办法第五十五条经营者提供商品或者服务有欺诈行为的，应当按照消费者的要求增加赔偿其受到的损失，增加赔偿的金额为消费者购买商品的价款或者接受服务的费用的三倍；增加赔偿的金额不足五百元的，为五百元。法律另有规定的，依照其规定
手机维修4个月未做处理,政府维权部门您好：本人4月左右在东莞石碣电信购买合约手机一台，活动价是699，在使用4个月后出现手机黑屏，无法开机，并在8月10日交由电信营业厅处理，至今未收到相关回应和答复，今天就前去找到电信营业厅问起此事，手机不但没修理。相关工作人员还游说以35元价格进行回收。他们这是只突销售之痛快，完全不为消费者负责任。
变相收费，未提车4S店不退定金,我10月4日在虎门大宁祺升汽车店交2000元订金，订购一辆东风风光580自动豪华版，全包价格：115000元，其中包含GPS定位费用等！     因资金不够，需贷款，由4S店联系贷款金融公司，签了75000元贷款合同（36期/利息6.8厘；（即全包价115000-贷款75000=首付40000元），利息：75000x0.0068=510元/月（利息），510x36期= 18360元（总利息）  每月还贷：2594元（贷款本金+总利息=93360/36期）总成本=总还款额93360元+首付40000=133360，祺升要我首付45700元，月供2519，总成本=136384， 比133360多付了3000元   与车行销售核对，销售员说收的是GPS流量费！但由看车谈价格到交订金再到签贷款合同整个过程，没人跟我说过要收GPS流量费，签约时没有任何文件提到这费用！况且交订金前车行说的是包GPS定位费的！现却矢口否认！    因GPS流量费一事追讨二个多月未解决，销售员表现冷漠，拖拉拖拉！令我心寒！现要求退还订金也遭拒绝！特此向相关部门申诉！
东莞市政永皮具厂雇用未成年人.不足额支付加班费等违法行为,举报人.段贤德.电话.13410547253.被举报人.东莞市政永皮具有限公司..地址.东莞市长安镇乌沙李屋第二工业区.被举报人长期雇用未成年人.其中:罗粤:身份证号:450881199903021977、李杨军:身份证号:510521199912091591、李杨军入职时间为2015年7月21日.在入职时未满16岁.未成年人共有十多人!克扣工人加班费.加班每小时只给3元.如:邓梦娜、凌美英等所有日薪人员.签订劳动合同时要求员工在空白劳动合同二只签名.全部就交给公司单方面保管等违法行为.请依法查处!注:举报人要求行政部门回复查处结果!
二手手机充当原装机销售,本人张海平身份证513030197801113519于2016年4月12在东莞市清溪镇香芒东路93号国汇通信，付款6088元人民币购买的苹果手机6PLUS，于2016年12月13号通过官方网站查询该机于2015年1月19号已经售出并激活使用，证明该手机属于二手手机，现于该店沟通该店负责人态度恶劣，该公司的行为属于欺诈行为！望消协沟通处理！张海平联系方式18665152215该店的联系方式076987300285
小区大量违建,沿海丽水佳园别墅区大量违建，加高楼层，占用小区公共资源，物业不做为
执勤交警判责不公,2016年12月12日晚18:07分，我驾驶一辆粤S906p6停在体育路哥顿蛋糕旁的路口，排在第二辆，执勤交警示意我们这边的车辆可以左转弯，直行车辆停止，于是我们左转弯，结果一辆粤H31K97的宝马车没有听交警指挥，直行撞到我们的车，执勤交警当场还问责了宝马车主一句：叫你停你怎么不停？然而最后判责的时候，竟然让我们全责，就是简单的一句：我们是拐弯，他是直行。但是我们是按照交警的指挥拐弯的，宝马是未听指挥直行的，如果这样就简单粗暴判我们全责，以后直行车辆是否都不用再听交警指挥，撞到谁谁倒霉？我们认为判责不公，请有关部门查证处理！
东莞市公安局非税收入票据不盖开票单位章,2016年12月13日上午在东莞市公安局办事大厅办理了证件后，开具了广东省非税收入（电子）票据但是票据右下角的开票单位章处，工作人员一口咬定没有章，不盖章。不具备基本的财务知识，态度恶劣。我所在的单位已经咨询过广东省票据管理中心。票据管理中心工作人员称一定要盖章才符合规定。
凤岗镇城邦大道金地艺境花园违建严重,凤岗镇城邦大道金地艺境花园别墅违建严重，遍地开花，特别是30栋，不顾邻居述求和影响，疯狂抢建扩建，想建多大建多大，想建多高建多高，违建面积已经达到180平，还在抢建中，邻居怨声载道，希望政府引起重视，对违建实施制止及强拆，净化小区环境，震慑违建之风，还百姓一个美丽花园。
关于道滘镇沿海丽水佳园别墅区严重违建问题,沿海丽水佳园别墅区存在严重违建行为，多家私自扩建小区公共绿地占为己有（特别是小区一大景观荷花塘被附近业主圈出一大片作为自己院子），以及将房屋露台加建成房间，严重改变房屋本身外立面。甚至有些业主加建完没有阳台晾衣服需要用根竹竿撑在别人家大门口来晾，非常影响形象。介于以上部分业主行为已经严重影响了小区的环境面貌 及其他业主的生活质量，也严重违背了东莞市争创文明城市决策，请部门领导高度重视，谢谢!——来自众业主的呼声
卫生环境,我们居住的地方，生活垃圾无人处理，臭死气冲天，曾经多次向你们反应，也没能解决问题，
清晨莞城洒水车喇叭声扰民,今早5点50分至6点钟，莞城东兴路时尚电器城至步步高有洒水车通过时不停按高音喇叭扰人清梦，这种情况近几个月每周都会有一、两次发生，希望有关部门关注。谢谢
乱停车,工农8号和富通自在城之间的道路，本来双方向单条车道，靠近富通自在城这边，经常有车乱停，严重影响交通。特别是晚上和早上上班时间。
建议公共场所全面禁烟,吸烟危害大，二手烟三手烟危害更大。烟雾中含69种以上致癌物质，比汽车尾气还毒，能引发肺癌心脏病。建议公共场所全面禁烟，加快控烟立法，严格执法，可以将控烟情况纳入单位的绩效考核指标。
东骏豪苑lucky音乐酒吧严重扰民,严重投诉东骏豪苑lucky音乐酒吧晚上噪音扰民，我现在凌晨一点都给其播放的杀猪噪声弄到睡不着，最近是不是生意好了，连续一个月晚上里面顾客唱的难听歌吵天喊地的，实在忍受不了，请给予查封。一问工商局，敢问你们是发给他们餐饮牌还是酒吧牌，据了解基本没有酒吧牌，只是打着西餐牌卖酒，你们是否要过问一下，他们这属于超范围经营，你们是否要关闭他们；二问文广新局，如果是酒吧牌，你们为什么可以在居民区发给他们酒吧牌，如果没有，是否属于你们查处关停范围。三问消防局，居民楼下做酒吧能过消防关吗？里面卖香槟酒就放烟火，电器设备又多，极容易火灾，你们是否要过问一下。希望上述部门从源头查处，这不是噪音归公安还是环保问题，.没有违规经营就没有噪音，公安和环保都是叫他们10点后不要播放，都不是解决和问题所在，是这个酒吧是否合法存在的问题，请市给予我们东骏业主们一个安静的夜晚。
